rating,totalUserRatings,latitude,longitude,ZIP,city,stateFIPS,placeFIPS,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,marriedPopulation,place,successMetric,nearestDistanceToTRH,successProbability,predictedLabel,existingLocation,ZIP3
4.1,3213.0,34.2816992,-88.714841,38804.0,tupelo,28,74840,38251,17672,20579,36.1,34.7,38.0,21927,14456,281,1632,54691,866,1265,805,30463,5420,795.0,17091,8945,6059,148900.0,795.0,1981,25116,4250,4964,2347,18685,17744,73804,28380,1632,14372,281,17802,314910,15004,37306,37306,15004,9363,30056,74840.0,13173.3,72.55731503375259,0.0,0,1,388
4.3,1074.0,38.204296,-90.40572,63028.0,festus,29,24094,12054,5475,6579,36.6,35.4,39.0,11253,360,71,359,59041,277,221,231,27561,1442,837.0,5104,2727,2038,150600.0,837.0,1977,8222,1801,1073,722,6031,5656,62330,38469,359,360,71,5589,131085,4765,11922,11922,4765,3229,9596,24094.0,4618.2,16.296627167466816,0.0,0,1,630
4.5,3975.0,38.9615299,-92.3704479,65203.0,columbia,29,15670,122659,59211,63448,28.8,28.3,29.3,93196,13597,7500,4173,53447,4456,2271,2314,31341,23047,890.0,53746,23410,25961,208300.0,890.0,1991,69599,9956,19573,10322,66997,64626,51911,34894,4173,13597,7453,63287,984780,49371,121573,121573,49371,25144,103349,15670.0,17887.5,27.32396464329901,0.0,0,1,652
4.3,1808.0,38.5806955,-92.2337594,65109.0,jefferson city,29,37000,42670,21978,20692,38.0,37.5,39.2,32075,8166,1106,1523,54003,1056,660,804,29567,4539,653.0,18942,9646,7236,161400.0,653.0,1976,29679,6569,5934,2884,21062,20258,53064,32275,1523,8155,1106,20168,305110,16882,38827,38827,16882,9327,35272,37000.0,7774.4,27.323964643299,0.0,0,1,651
4.5,2813.0,39.7754829,-94.8028634,64506.0,saint joseph,29,64550,75369,37894,37475,37.6,36.2,39.2,63823,4213,1118,5367,48716,2358,1775,1817,26033,12083,785.0,33760,17084,11924,117800.0,785.0,1959,50936,15127,7497,2251,36133,34299,53298,36440,5367,4123,1118,33699,516230,29008,72342,72342,29008,16841,61143,64550.0,12658.5,37.72040183472795,0.0,0,1,645
4.4,5931.0,38.7704834,-90.49578,63301.0,saint charles,29,64082,70650,33843,36807,37.6,37.9,37.4,60200,4367,2171,4016,71232,882,834,868,40851,4877,989.0,30986,19198,9853,212000.0,989.0,1985,48854,9595,11572,6235,40141,39276,75829,43023,4016,4344,2171,38466,763975,29051,69617,69617,29051,16791,60298,64082.0,26096.4,12.5475187143427,0.0,0,1,633
4.4,6221.0,37.1358003,-93.2935967,65810.0,springfield,29,70000,167601,80783,86818,33.2,32.4,34.4,146895,7169,3029,7259,37491,8517,6099,5646,24438,33935,760.0,83116,33080,44947,122200.0,760.0,1976,105938,24611,18476,8545,84373,79970,46667,34205,7259,7102,2984,78178,1341830,78027,164434,164434,78027,37297,142757,70000.0,27372.4,65.50038129878891,0.0,0,1,658
4.5,5316.0,38.4394251,-90.3820114,63010.0,arnold,29,1972,21144,10415,10729,40.3,37.8,43.3,19845,60,74,363,64678,397,199,257,30378,1792,958.0,8961,6325,2193,165700.0,958.0,1976,15131,4444,2113,918,10551,10204,71659,39796,363,60,74,10153,287075,8518,20836,20836,8518,5607,17143,1972.0,23922.0,8.475460320376385,0.0,0,1,630
4.5,4467.0,38.8102549,-94.5031875,64012.0,belton,29,4384,23568,11254,12314,35.3,33.0,37.6,20721,1102,185,2035,65667,107,301,472,29491,2343,1078.0,9449,5729,3347,140200.0,1078.0,1986,15713,5190,2656,843,12451,11949,52917,37433,2035,1033,185,11756,278770,9076,23468,23468,9076,6470,18485,4384.0,20101.5,9.733388974710197,0.0,0,1,640
4.3,4080.0,38.5607141,-90.4054367,63122.0,saint louis,29,65000,304709,147692,157017,36.0,35.2,36.8,141519,139140,10266,12530,45782,15857,9749,7493,31930,60598,840.0,176955,63338,80228,143700.0,840.0,0,218594,43846,44747,24229,167197,157422,59130,33022,12530,138482,10221,154771,3418655,143566,300121,300121,143566,64848,254922,65000.0,17544.0,7.710969001599454,0.0,0,1,631
4.5,4898.0,39.2464708,-94.4536668,64068.0,liberty,29,42032,31761,15834,15927,35.8,34.1,37.6,28422,1360,628,1932,78184,358,180,243,34296,2121,905.0,11505,8072,2744,194900.0,905.0,1981,20633,4866,5241,1724,16658,16254,60662,52556,1932,1360,618,16060,330195,10816,31160,31160,10816,7602,24846,42032.0,22041.0,10.881723722138943,0.0,0,1,640
4.5,4384.0,39.0276913,-94.2570164,64014.0,blue springs,29,6652,55415,26678,28737,35.8,34.4,38.2,47260,4228,866,3596,72846,460,192,521,33345,2687,1013.0,21195,14201,6143,174800.0,1013.0,1985,36012,8711,8169,3045,29390,28302,56715,47656,3596,4158,851,27785,720115,20344,55191,55191,20344,15319,42262,6652.0,19728.0,10.463211746740775,0.0,0,1,640
4.5,4972.0,37.0531495,-94.4775787,64804.0,joplin,29,37592,50580,24854,25726,36.6,35.0,38.1,42806,1810,1124,3252,45091,1674,2034,908,26549,8974,774.0,23851,12163,8849,125400.0,774.0,1978,33878,8637,5699,1756,25336,23932,56944,36921,3252,1790,1124,23319,392415,21012,50124,50124,21012,11973,41002,37592.0,22374.0,55.69331695614878,0.0,0,1,648
4.4,3288.0,38.8093232,-90.8720972,63385.0,wentzville,29,78442,40407,20075,20332,33.5,32.1,34.8,36487,1932,979,1154,93602,185,189,122,35631,1306,1042.0,14004,11305,2153,234800.0,1042.0,2006,24730,4605,6472,2595,20798,20079,85462,63015,1154,1932,963,19812,503740,13458,40278,40278,13458,10406,29474,78442.0,14467.2,20.44335542888157,0.0,0,1,633
4.3,2831.0,37.2986353,-89.5770255,63703.0,cape girardeau,29,11242,40100,19254,20846,34.4,32.2,37.4,32326,5079,1200,1238,45713,1653,903,814,25503,8545,762.0,18390,8517,7338,153400.0,762.0,1974,24612,5856,4908,2175,20015,19094,51053,29863,1238,5063,1200,18432,301185,15855,39195,39195,15855,8210,34057,11242.0,12173.3,45.29891828728535,0.0,0,1,637
4.4,2154.0,38.5925432,-90.5422625,63011.0,ballwin,29,3160,30177,14730,15447,43.5,42.6,45.1,26056,432,1909,752,97174,160,198,388,49370,1202,1157.0,12461,10190,1744,277100.0,1157.0,1975,21400,2477,7853,3868,16148,15611,99219,47730,752,432,1895,15409,344030,11934,30177,30177,11934,8370,24691,3160.0,9477.6,7.710969001599388,0.0,0,1,630
4.4,3305.0,38.9277529,-94.4033734,64086.0,lees summit,29,41348,98997,47086,51911,38.4,38.0,38.7,82731,8278,1990,4583,93295,896,1280,866,43117,4506,1069.0,39495,28801,8863,234700.0,1069.0,1992,66601,11221,19765,8997,53749,51578,82506,42708,4583,8211,1979,51247,1226475,37664,98113,98113,37664,27316,77832,41348.0,14542.000000000002,9.733388974710428,0.0,0,1,640
4.5,4204.0,45.7544063,-108.5624326,59102.0,billings,30,6550,109705,54150,55555,37.3,35.9,38.5,96304,1319,962,7418,60032,2330,1731,1994,36709,10470,923.0,50959,30000,17484,233700.0,923.0,1977,74758,16622,17988,5237,58008,55924,52221,45237,7418,673,962,55174,909295,47484,107905,107905,47484,27462,88523,6550.0,18918.0,121.5111723214687,0.0,0,1,591
4.2,460.0,46.8463245,-114.0264711,59801.0,missoula,30,50200,74994,37323,37671,33.1,31.9,34.5,67140,662,1535,2917,50947,2519,1821,1534,32645,12134,900.0,34887,15429,17126,301700.0,900.0,1978,48747,6499,15482,6123,46521,44185,44945,22188,2917,519,1520,43159,635465,32555,74478,74478,32555,15458,63989,50200.0,1932.0,142.63109870491846,0.0,0,1,598
