placeName,totalPopulation,malePopulation,femalePopulation,medianAge,medianAgeMale,medianAgeFemale,whitePopulation,blackPopulation,asianPopulation,hispanicPopulation,medianHouseholdIncome,incomeBelow10k,income10kTo15k,income15kTo25k,perCapitaIncome,populationBelowPoverty,medianGrossRent,totalHousingUnits,ownerOccupiedHousingUnits,renterOccupiedHousingUnits,medianHomeValue,medianMonthlyHousingCosts,medianYearStructureBuilt,totalEducationPopulation,bachelorsDegree,mastersDegree,doctorateDegree,employedPopulation,occupationData,managementOccupation,serviceOccupation,foreignBornPopulation,notHispanicWhitePopulation,notHispanicBlackPopulation,commuters,meanTravelTime,carAvailability,disabilityPopulation,healthInsurancePopulation,householdPopulation,singleParentHouseholds,unmarriedPartners,marriedPopulation,state,place,stateFIPS,placeFIPS,city,zip,latitude,longitude
"Brighton city, Colorado",38355,19849,18506,34,32.2,35.8,30498,1080,1015,13803,74813,432,343,346,31348,3129,1363,12183,7682,4179,337100,1363,1996,24966,6535,3479,1436,19583,18742,70973,47813,13803,1042,990,18529,555660,11861,36674,36674,11861,8516,,29359,CO,8675,8,8675,BRIGHTON,80603,39.9845,-104.74539
"Broomfield city, Colorado",69444,34704,34740,38.4,37.2,39.6,59437,1009,4614,8751,101206,821,373,348,51461,3435,1711,28037,18041,9158,450600,1711,1999,48449,5697,16900,7921,40571,39116,86800,40139,8751,866,4556,38760,890855,27199,69072,69072,27199,17411,,56621,CO,9280,8,9280,BROOMFIELD,80020,39.93121,-105.07407
"Broomfield city, Colorado",69444,34704,34740,38.4,37.2,39.6,59437,1009,4614,8751,101206,821,373,348,51461,3435,1711,28037,18041,9158,450600,1711,1999,48449,5697,16900,7921,40571,39116,86800,40139,8751,866,4556,38760,890855,27199,69072,69072,27199,17411,,56621,CO,9280,8,9280,BROOMFIELD,80021,39.89105,-105.11448
"Broomfield city, Colorado",69444,34704,34740,38.4,37.2,39.6,59437,1009,4614,8751,101206,821,373,348,51461,3435,1711,28037,18041,9158,450600,1711,1999,48449,5697,16900,7921,40571,39116,86800,40139,8751,866,4556,38760,890855,27199,69072,69072,27199,17411,,56621,CO,9280,8,9280,BROOMFIELD,80023,39.97407,-105.01011
"Broomfield city, Colorado",69444,34704,34740,38.4,37.2,39.6,59437,1009,4614,8751,101206,821,373,348,51461,3435,1711,28037,18041,9158,450600,1711,1999,48449,5697,16900,7921,40571,39116,86800,40139,8751,866,4556,38760,890855,27199,69072,69072,27199,17411,,56621,CO,9280,8,9280,BROOMFIELD,80038,39.9205,-105.0866
"Brush city, Colorado",5408,2495,2913,29.8,27.5,30.5,5240,0,0,1274,56078,238,80,49,22085,839,921,2339,1301,761,179000,921,1971,3225,866,388,129,2360,2268,46955,85938,1274,0,0,2174,43750,2062,5230,5230,2062,1489,,3962,CO,9555,8,9555,BRUSH,80723,40.15981,-103.55046
"Buena Vista town, Colorado",2935,1312,1623,45.7,46,45.5,2832,0,0,26,48456,110,113,1,24515,300,1320,1533,647,649,312700,1320,1992,2170,682,356,317,1625,1625,117984,-666666666,26,0,0,1625,21710,1296,2935,2935,1296,716,,2323,CO,10105,8,10105,BUENA VISTA,81211,38.89548,-106.24128
"Buena Vista town, Colorado",2935,1312,1623,45.7,46,45.5,2832,0,0,26,48456,110,113,1,24515,300,1320,1533,647,649,312700,1320,1992,2170,682,356,317,1625,1625,117984,-666666666,26,0,0,1625,21710,1296,2935,2935,1296,716,,2323,CO,10105,8,10105,BUENA VISTA,81228,39.03402,-106.27723
"Buena Vista town, Colorado",2935,1312,1623,45.7,46,45.5,2832,0,0,26,48456,110,113,1,24515,300,1320,1533,647,649,312700,1320,1992,2170,682,356,317,1625,1625,117984,-666666666,26,0,0,1625,21710,1296,2935,2935,1296,716,,2323,CO,10105,8,10105,BUENA VISTA,81251,39.13482,-106.43723
"Burlington city, Colorado",3237,1735,1502,37.6,33.7,41.5,2758,27,7,758,51114,46,61,60,25631,193,845,1559,855,524,107200,845,1973,2132,633,165,109,1711,1656,46326,51620,758,27,7,1602,16440,1379,3040,3040,1379,841,,2642,CO,10600,8,10600,BURLINGTON,80807,39.31575,-102.23303
